Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Abstractions\Example.Api.Abstractions.csproj,File,Abstractions\Example.Api.Abstractions.csproj,,,Microsoft.Extensions.Configuration.Abstractions 8.0.0,,,,,"Microsoft.Extensions.Configuration.Abstractions, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.Abstractions, and replace with new package Microsoft.Extensions.Configuration.Abstractions 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Abstractions\Example.Api.Abstractions.csproj,File,Abstractions\Example.Api.Abstractions.csproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 8.0.1,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 8.0.1  Recommendation:  Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Abstractions\Example.Api.Abstractions.csproj,File,Abstractions\Example.Api.Abstractions.csproj,,,Microsoft.Extensions.Logging.Abstractions 8.0.1,,,,,"Microsoft.Extensions.Logging.Abstractions, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Abstractions\Example.Api.Abstractions.csproj,File,Abstractions\Example.Api.Abstractions.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0006,NuGet package source mappings are recommended,Active,Information,1,Abstractions\Example.Api.Abstractions.csproj,File,NuGet.config,,,,,,,,Found 1 files matching the rule:    NuGet.config  
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Abstractions\Example.Api.Abstractions.csproj,File,Abstractions\Example.Api.Abstractions.csproj,,,Microsoft.AspNetCore.Mvc.Core 2.2.5,,,,,"Microsoft.AspNetCore.Mvc.Core, 2.2.5  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.AspNetCore.Mvc.Core, and replace with new package Microsoft.AspNetCore.Mvc.Core, 2.3.9"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Abstractions\Example.Api.Abstractions.csproj,File,Abstractions\Example.Api.Abstractions.csproj,,,System.IdentityModel.Tokens.Jwt 7.6.2,,,,,"System.IdentityModel.Tokens.Jwt, 7.6.2  Recommendation:  Move to latest https://aka.ms/IdentityModel/LTS Remove System.IdentityModel.Tokens.Jwt, and replace with new package System.IdentityModel.Tokens.Jwt, 8.16.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Abstractions\Example.Api.Abstractions.csproj,File,Abstractions\Example.Api.Abstractions.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Abstractions\Example.Api.Abstractions.csproj,File,Abstractions\Interfaces\Adapters\IJwtAdapter.cs,6,1,T:System.IdentityModel.Tokens.Jwt.JwtSecurityToken,,,,," bool ValidateJwt(string? token, out JwtSecurityToken? validatedToken)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Abstractions\Example.Api.Abstractions.csproj,File,Abstractions\Interfaces\Services\IAuthenticationService.cs,6,1,T:System.IdentityModel.Tokens.Jwt.JwtSecurityToken,,,,," bool ValidateJwt(string? token, out JwtSecurityToken? validatedToken)"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Abstractions\Example.Api.Abstractions.csproj,File,Abstractions\Common\Technical\Tracing\Base\TracingContext.cs,23,2,"M:System.Diagnostics.ActivitySource.StartActivity(System.String,System.Diagnostics.ActivityKind)",,,,,"var activity = source.StartActivity($""{@class}.{method}"");"
NuGet.0006,NuGet package source mappings are recommended,Active,Information,1,Db\Example.Api.Adapters.Mongo.csproj,File,NuGet.config,,,,,,,,Found 1 files matching the rule:    NuGet.config  
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Db\Example.Api.Adapters.Mongo.csproj,File,Db\Example.Api.Adapters.Mongo.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Db\Example.Api.Adapters.Mongo.csproj,File,Db\Injections\MongoAdapterModule.cs,12,2,T:Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions,,,,,"services.Scan(scan => scan  			.FromAssemblyOf<MongoAdapterModule>()  			.AddClasses(classes => classes.InNamespaces(baseNamespace + "".Repositories""))  			.AsImplementedInterfaces()  			.WithSingletonLifetime()  		);"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Example.Api.Adapters.Rest.csproj,,,Microsoft.Extensions.Configuration.Binder 8.0.1,,,,,"Microsoft.Extensions.Configuration.Binder, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Configuration.Binder, and replace with new package Microsoft.Extensions.Configuration.Binder 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Example.Api.Adapters.Rest.csproj,,,Microsoft.Extensions.Http 8.0.0,,,,,"Microsoft.Extensions.Http, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Example.Api.Adapters.Rest.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Example.Api.Adapters.Rest.csproj,,,System.ComponentModel.Annotations 5.0.0,,,,,"System.ComponentModel.Annotations, 5.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Example.Api.Adapters.Rest.csproj,,,System.Net.Http 4.3.4,,,,,"System.Net.Http, 4.3.4  Recommendation:  Package functionality included with new framework reference"
NuGet.0006,NuGet package source mappings are recommended,Active,Information,1,Rest\Example.Api.Adapters.Rest.csproj,File,NuGet.config,,,,,,,,Found 1 files matching the rule:    NuGet.config  
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Example.Api.Adapters.Rest.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Injections\RestAdapterModule.cs,18,2,T:Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions,,,,,services.Scan(s => s.FromAssemblyOf<RestAdapterModule>()  			.AddClasses(c => c.InNamespaceOf<JwtAdapter>())  			.AsImplementedInterfaces()  			.WithSingletonLifetime()  		);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Injections\RestAdapterModule.cs,16,60,T:System.Uri,,,,,client.BaseAddress = new Uri(conf.Authentication);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Injections\RestAdapterModule.cs,16,60,M:System.Uri.#ctor(System.String),,,,,client.BaseAddress = new Uri(conf.Authentication);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Injections\RestAdapterModule.cs,16,60,T:System.Uri,,,,,client.BaseAddress = new Uri(conf.Authentication);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Adapters\JwtAdapter.cs,23,5,T:System.IdentityModel.Tokens.Jwt.JwtSecurityToken,,,,,"public bool ValidateJwt(string? token, out JwtSecurityToken? validatedToken)"
